Who developed Terraform?	Hashicorp
What is Terraform used for?	Infrastructure as code
When defining resources in Terraform, you could say it is written in a way that is?	Declarative
What is Terraform written in?	HashiCorp Configuration Language (HCL) or JSON
Can you compare the abilities of Terraform and Ansible?	Terraform is better for setting up infrastructure, and Ansible is better for configuring that infrastructure
What are the two inputs of Terraform?	The terraform config, and the current state
The `terraform{}` block contains what?	Terraform settings
What does the `provider{}` block do in Terraform?	Configures providers
What does a `resource{}` block do in Terraform?	Defines components of your infrastructure
What is a provider in Terraform?&nbsp;	<div><div>It is a plugin that enables interaction with an API</div></div>
What does the `terraform output` command do?	It will return the outputs you defined in `outputs.tf`
What is the file name for outputs in terraform?	outputs.tf
What is a `locals block` in Terraform?	It is used to define local variables for that module
What is an output in Terraform?	It selects fields that you want to see come back from a Terraform apply
Why is `terraform init` not sufficient to test your code?	Because it is only interested in the terrafor, provider and module blocks
If you wanted to run a bash script on your new server using terraform, how would you do it?	With the&nbsp;<b>custom_data</b> tag
"<div>Why shouldn't you store the terraform state file in git?</div>"	"Because other people working with Terraform wouldn't know the current state of terraform, and the file contains secrets"
"<div>How to hide your state files so that they don't appear on disk when using Terraform?&nbsp;</div>"	Have a remote state storage solution (backend)
<div>What is Terraform state?</div>	<div>How Terraform tracks changes made in your cloud instances</div>
"<div>What is the Terraform ""backend""?</div>"	Your remote storage state solution
<div><div>What is Infrastructure as Code (IaC)?</div></div>	The practice of managing and provisioning infrastructure resources using code
<div>What are the advantages of IaC patterns?&nbsp;</div><div><br></div><div><span class=cloze>[...]</span>&nbsp;</div><div>consistency</div><div>scalability&nbsp;</div><div>version control<br></div>	<div>What are the advantages of IaC patterns?&nbsp;</div><div><br></div><div><span class=cloze>automation</span>&nbsp;</div><div>consistency</div><div>scalability&nbsp;</div><div>version control<br></div><br> 
What is the purpose of version control in IaC?	It allows for tracking of infrastructure configurations over time
"<div><div><span style=""color: #3b3b3b;"">How does IaC improve collaboration among teams?&nbsp;</span></div></div>"	"T<span style=""color: rgb(59, 59, 59);"">eams can work together by using a shared, version-controlled codebase for infrastructure management</span>"
<div><div>How does IaC provide scalability?</div></div>	Through automating the provisioning and scaling of infrastructure resources
<div><div>How does IaC provide consistency?</div></div>	By using infrastructure configurations that are deployed in a repeatable way
<div><div>What is the benefit of Terraform being multi-cloud and provider-agnostic?</div></div>	Increased reliability
<div><div>How does using Terraform with multiple cloud providers increase your reliability?</div></div>	"If one provider goes down, all of your infrastructure isn't affected"
"<div><div>How does Terraform state improve the performance of 'terraform apply'?</div></div>"	"By caching the state of your infrastructure so that Terraform doesn't have to query the providers every run"
<div><div>How is Terraform state beneficial from the perspective of syncing?</div></div>	It enables multiple people to be able to work on one Terraform project
<div><div>How does Terraform enable multiple people to work on one project?</div></div>	By using remote state
"<div><div>What will Terraform do to make sure two people using a remote storage solution can't run terraform apply at the same time?</div></div>"	Remote locking
<div><div>What flag do you need to pass to Terraform to use the state file as a cache and not query the cloud providers?</div></div>	`-refresh=false`
<div><div>How is Terraform state beneficial from the perspective of tracking metadata?</div></div>	It allows Terraform to infer what order to delete resources in
<div><div>When you want to use existing infrastructure with your Terraform config, what tool do you use?</div></div>	An import resource block
<div>What are the advantages of IaC patterns?&nbsp;</div><div><br></div><div>automation&nbsp;</div><div><span class=cloze>[...]</span></div><div>scalability&nbsp;</div><div>version control<br></div>	<div>What are the advantages of IaC patterns?&nbsp;</div><div><br></div><div>automation&nbsp;</div><div><span class=cloze>consistency</span></div><div>scalability&nbsp;</div><div>version control<br></div><br> 
<div>What are the advantages of IaC patterns?&nbsp;</div><div><br></div><div>automation&nbsp;</div><div>consistency</div><div><span class=cloze>[...]</span>&nbsp;</div><div>version control<br></div>	<div>What are the advantages of IaC patterns?&nbsp;</div><div><br></div><div>automation&nbsp;</div><div>consistency</div><div><span class=cloze>scalability</span>&nbsp;</div><div>version control<br></div><br> 
<div>What are the advantages of IaC patterns?&nbsp;</div><div><br></div><div>automation&nbsp;</div><div>consistency</div><div>scalability&nbsp;</div><div><span class=cloze>[...]</span><br></div>	<div>What are the advantages of IaC patterns?&nbsp;</div><div><br></div><div>automation&nbsp;</div><div>consistency</div><div>scalability&nbsp;</div><div><span class=cloze>version control</span><br></div><br> 
<div><div>What do providers supply Terraform?</div></div>	The resource types and data sources that Terraform can manage
<div><div>In Terraform, for a commonly used provider (like AWS), what is the source?</div></div>	The Terraform Registry
<div><div>Where must providers be specified to be used in Terraform?</div></div>	In the required_providers block
<div><div>What 3 things does a required_providers block specify?</div><br><div>local name</div><div><span class=cloze>[...]</span></div><div>version</div></div>	<div><div>What 3 things does a required_providers block specify?</div><br><div>local name</div><div><span class=cloze>source</span></div><div>version</div></div><br> 
<div><div>What 3 things does a required_providers block specify?</div><br><div><span class=cloze>[...]</span></div><div>source</div><div>version</div></div>	<div><div>What 3 things does a required_providers block specify?</div><br><div><span class=cloze>local name</span></div><div>source</div><div>version</div></div><br> 
<div><div>What 3 things does a required_providers block specify?</div><br><div>local name</div><div>source</div><div><span class=cloze>[...]</span></div></div>	<div><div>What 3 things does a required_providers block specify?</div><br><div>local name</div><div>source</div><div><span class=cloze>version</span></div></div><br> 
<div><div>What do you provide to a provider block in Terraform for unique identification when you have two or more of them?</div></div>	An alias
"<div><div>When using a provider that looks like the one below, how would you access it in a recourse block?</div></div><div><br></div><div><div><div>provider ""aws"" {</div><div>&nbsp; &nbsp; alias  = ""west""</div><div>&nbsp; &nbsp; region = ""us-west-2""</div><div>}</div></div></div>"	<div><div>provider = aws.west</div></div>
<div><div>What is used to uniquely identity where you download a provider from?</div></div>	Source addresses
<div><div>What are the three building blocks of source addresses for providers? hostname/namespace/<span class=cloze>[...]</span></div></div>	<div><div>What are the three building blocks of source addresses for providers? hostname/namespace/<span class=cloze>type</span></div></div><br> 
<div><div>What are the three building blocks of source addresses for providers? <span class=cloze>[...]</span>/namespace/type</div></div>	<div><div>What are the three building blocks of source addresses for providers? <span class=cloze>hostname</span>/namespace/type</div></div><br> 
<div><div>What are the three building blocks of source addresses for providers? hostname/<span class=cloze>[...]</span>/type</div></div>	<div><div>What are the three building blocks of source addresses for providers? hostname/<span class=cloze>namespace</span>/type</div></div><br> 
<div><div>When does Terraform validate your providers?</div></div>	When running `terraform init`
"<div><div>How does Terraform enable developers to extend it's functionality?</div></div>"	Through plugins
<div><div>What will Terraform build after running `terraform init`?&nbsp;</div></div>	<div><div>A dependency version lock file for your plugins</div></div>
<div><div>To install a provider in Terraform, what block and resource do you need?</div></div>	A `required_providers` block and a `provider` resource block
<div><div>What are providers and provisioners both considered by Terraform?</div></div>	Plugins
<div><div>What tool do you use when you want to import in existing infrastructure under Terraform management?&nbsp;</div></div>	`terraform import`
<div><div>Importing infrastructure involves five steps:</div><br><div>1) Identify the existing infrastructure you will import.</div><div>2) <span class=cloze>[...]</span></div><div>3) Write Terraform configuration that matches that infrastructure.</div><div>4) Review the Terraform plan to ensure the configuration matches the expected state and infrastructure.</div><div>5) Apply the configuration to update your Terraform state.</div></div>	<div><div>Importing infrastructure involves five steps:</div><br><div>1) Identify the existing infrastructure you will import.</div><div>2) <span class=cloze>Import infrastructure into your Terraform state file using `terraform import`</span></div><div>3) Write Terraform configuration that matches that infrastructure.</div><div>4) Review the Terraform plan to ensure the configuration matches the expected state and infrastructure.</div><div>5) Apply the configuration to update your Terraform state.</div></div><br> 
<div><div>Importing infrastructure involves five steps:</div><br><div>1) Identify the existing infrastructure you will import.</div><div>2) Import infrastructure into your Terraform state file using `terraform import`</div><div>3) <span class=cloze>[...]</span></div><div>4) Review the Terraform plan to ensure the configuration matches the expected state and infrastructure.</div><div>5) Apply the configuration to update your Terraform state.</div></div>	<div><div>Importing infrastructure involves five steps:</div><br><div>1) Identify the existing infrastructure you will import.</div><div>2) Import infrastructure into your Terraform state file using `terraform import`</div><div>3) <span class=cloze>Write Terraform configuration that matches that infrastructure.</span></div><div>4) Review the Terraform plan to ensure the configuration matches the expected state and infrastructure.</div><div>5) Apply the configuration to update your Terraform state.</div></div><br> 
